Name;R1;R2;R3;R4
Eth_5ppm_100SCCM_200C;705703.05;10828.05;7267.52;8243.02
Eth_5ppm_100SCCM_200C;739773.27;11246.65;7499.03;8486.83
Eth_5ppm_100SCCM_200C;753721.28;11405.27;7583.10;8576.12
Eth_5ppm_100SCCM_200C;761598.47;11495.95;7629.52;8626.79
Eth_5ppm_100SCCM_200C;768519.29;11584.10;7678.31;8679.93
Eth_5ppm_100SCCM_200C;774162.24;11646.62;7710.55;8713.62
Eth_5ppm_100SCCM_200C;779148.43;11698.30;7739.07;8747.02
Eth_5ppm_100SCCM_200C;779902.39;11713.54;7744.71;8750.53
Eth_5ppm_100SCCM_200C;782046.90;11729.35;7754.00;8761.10
Eth_5ppm_100SCCM_200C;785366.36;11771.08;7777.17;8789.07
Eth_5ppm_100SCCM_200C;789928.88;11839.49;7815.19;8828.58
Eth_5ppm_100SCCM_200C;792525.50;11863.02;7828.02;8843.37
Eth_5ppm_100SCCM_200C;793855.61;11873.83;7832.97;8849.76
Eth_5ppm_100SCCM_200C;794359.62;11880.10;7834.01;8851.17
Eth_5ppm_100SCCM_200C;794972.20;11887.11;7838.96;8856.98
Eth_5ppm_100SCCM_200C;794018.13;11869.29;7827.79;8843.07
Eth_5ppm_100SCCM_200C;792655.07;11855.59;7820.51;8834.08
Eth_5ppm_100SCCM_200C;794095.34;11861.35;7824.06;8838.34
Eth_5ppm_100SCCM_200C;794355.55;11866.20;7824.33;8839.24
Eth_5ppm_100SCCM_200C;794361.66;11870.88;7828.22;8843.83
Eth_5ppm_100SCCM_200C;794727.87;11876.46;7830.79;8846.83
Eth_5ppm_100SCCM_200C;695960.69;10696.58;7198.16;8192.42
Eth_5ppm_100SCCM_200C;735189.75;11195.44;7468.33;8466.49
Eth_5ppm_100SCCM_200C;750703.37;11379.50;7567.41;8566.54
Eth_5ppm_100SCCM_200C;759296.85;11477.07;7619.56;8622.07
Eth_5ppm_100SCCM_200C;768231.98;11579.08;7674.95;8681.58
Eth_5ppm_100SCCM_200C;776376.25;11681.61;7730.55;8742.07
Eth_5ppm_100SCCM_200C;779755.40;11720.13;7750.27;8761.72
Eth_5ppm_100SCCM_200C;782267.72;11745.77;7762.32;8776.46
Eth_5ppm_100SCCM_200C;784086.31;11769.48;7773.35;8789.34
Eth_5ppm_100SCCM_200C;786273.84;11791.03;7784.33;8799.46
Eth_5ppm_100SCCM_200C;786893.97;11796.41;7789.06;8803.71
Eth_5ppm_100SCCM_200C;788075.11;11809.61;7795.14;8809.70
Eth_5ppm_100SCCM_200C;788740.18;11819.28;7799.57;8815.21
Eth_5ppm_100SCCM_200C;789659.50;11831.99;7806.56;8822.50
Eth_5ppm_100SCCM_200C;790637.37;11846.45;7813.54;8829.76
Eth_5ppm_100SCCM_200C;791274.49;11856.90;7820.39;8837.66
Eth_5ppm_100SCCM_200C;792697.60;11863.84;7825.02;8842.21
Eth_5ppm_100SCCM_200C;793131.20;11870.88;7828.22;8846.93
Eth_5ppm_100SCCM_200C;793542.96;11870.47;7828.40;8846.55
Eth_5ppm_100SCCM_200C;794087.21;11874.15;7829.88;8848.14
Iso_5ppm_100SCCM_200C;723573.00;11127.47;7428.62;8380.22
Iso_5ppm_100SCCM_200C;758098.46;11526.69;7639.59;8600.87
Iso_5ppm_100SCCM_200C;770695.36;11673.79;7717.63;8686.10
Iso_5ppm_100SCCM_200C;777477.30;11755.07;7760.81;8733.02
Iso_5ppm_100SCCM_200C;782869.69;11814.92;7792.34;8768.43
Iso_5ppm_100SCCM_200C;786786.22;11858.94;7817.36;8795.67
Iso_5ppm_100SCCM_200C;790446.04;11895.18;7836.17;8814.66
Iso_5ppm_100SCCM_200C;791997.53;11924.07;7850.70;8831.29
Iso_5ppm_100SCCM_200C;794921.29;11957.20;7867.62;8848.34
Iso_5ppm_100SCCM_200C;798205.37;11978.71;7880.75;8863.81
Iso_5ppm_100SCCM_200C;799089.27;12007.17;7894.53;8880.07
Iso_5ppm_100SCCM_200C;800714.18;12019.91;7901.98;8885.64
Iso_5ppm_100SCCM_200C;802345.71;12040.53;7912.74;8900.30
Iso_5ppm_100SCCM_200C;802810.71;12047.49;7914.68;8900.78
Iso_5ppm_100SCCM_200C;803856.84;12053.95;7919.37;8904.64
Iso_5ppm_100SCCM_200C;804438.28;12066.23;7924.36;8913.39
